Center,Center.Name,Mall.Code,City,State,Intersecting.Streets,MSA,Center.Classification,Design.Type,Year.Opened,GLA.sqft,Stores,OD.Company,DistBetween
Atlantic City,Liberty Village Premium Outlets,NJ9067,Flemington,NJ,Church St. & Brown St.,"new york-northern new jersey-long island, ny-nj-pa",Value-Retail Center,Open,1981,165000,40,Premium Outlets | Simon,82.13910454289541
Atlantic City,Middlesex Mall,NJ0023,South Plainfield,NJ,Hadley & Stelton Rds.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1972,351732,21,Gibraltar Management Co.,82.29075941249697
Atlantic City,Centennial Square,NJ9263,Piscataway,NJ,Stelton Rd. & S. Washington Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2008,408000,21,Garden Commercial Properties,82.31063115060223
Atlantic City,Woodbridge Center,NJ0640,Woodbridge,NJ,Woodbridge Center Dr. & Rte. 1,"new york-northern new jersey-long island, ny-nj-pa",Super-Regional Center,Enclosed,1971,1667138,161,GGP,82.84212453423358
Atlantic City,Woodbridge Crossing,NJ0070,Woodbridge,NJ,US Hwy. 9 & Woodbridge Center Dr.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2002,284456,14,Onyx Equities,83.09921657140596
Atlantic City,Bridgewater Promenade,NJ0044,Bridgewater,NJ,I-287 & Rte. 28,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1988,631859,14,Kimco Realty Corporation,83.19926057382031
Atlantic City,Raritan Town Square,NJ0102,Flemington,NJ,State Rte. 31 & County Rte. 523,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2008,520000,19,Garden Commercial Properties,83.45597653191246
Atlantic City,Somerville Town Center,NJ9270,Somerville,NJ,S. Doughty Ave. & Veteran's Memorial Dr. W.,unspecified,Lifestyle/Specialty Center,Open,NA,150000,15,"Edgewood Properties, Inc.",83.88572816956967
Atlantic City,Somerset Shopping Center,NJ9172,Bridgewater,NJ,Rts. 202/206 & Rt. 28,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1973,218685,25,c/o Levin Management,84.64640062597151
Atlantic City,The Promenade at Chester Springs,PA9554,Glenmoore,PA,Rtes. 401 & 100,"philadelphia-camden-wilmington, pa-nj-de-md",Lifestyle/Specialty Center,Open,2020,129900,11,"Promenade Chester Springs, LP",85.0418094294044
Atlantic City,Bridgewater Commons,NJ8810,Bridgewater,NJ,"SR 202, 206, & 22 & I-287","new york-northern new jersey-long island, ny-nj-pa",Regional Center,Enclosed,1988,994000,165,GGP,85.12356000159812
Atlantic City,Philadelphia Premium Outlets,PA8967,Limerick,PA,Evergreen Rd. & Lightcap Rd.,"philadelphia-camden-wilmington, pa-nj-de-md",Value-Retail Center,Open,2007,549106,150,Premium Outlets | Simon,85.40306080588896
